"from"	"color"	"x"	"y"	"enriched_in"
"Burkholderiales_unclassified(100):Otu00397"	"#D95F02"	0.641230013717787	0.177225278801207	"RPS"
"butyrate"	"#D95F02"	0.403064721076244	0.283108173736233	"RPS"
"caproate"	"#D95F02"	0.513768310392814	0.279086267797613	"RPS"
"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	"#1B9E77"	0.139101688665625	0.661773038882471	"control"
"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"#1B9E77"	0.308412230834868	0.707542289796128	"control"
"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	"#D95F02"	0.138514671660442	0.32342362737919	"RPS"
"CD3+/CD4+/CD8a-/FoxP3-/CD25-"	"#D95F02"	0.263447186028898	0.218799764124114	"RPS"
"CD3+/CD4+/CD8a-/FoxP3+/CD25-"	"#D95F02"	0.34750299983001	0.0275052285971029	"RPS"
"CD3+/CD4+/CD8a-/FoxP3+/CD25+"	"#D95F02"	0.456933116925619	0.145951091484169	"RPS"
"Clostridiales_unclassified(100):Otu00256"	"#1B9E77"	0.00957219031085059	0.670965180574372	"control"
"Family_XIII(100):Otu00306"	"#D95F02"	0.445871584192679	0.0101789158727557	"RPS"
"IL6"	"#D95F02"	0.373143867120403	0.0726192890566182	"RPS"
"Megasphaera(100):Otu00101"	"#D95F02"	0.302370683140911	0.146697648465951	"RPS"
"Mucispirillum(100):Otu00156"	"#1B9E77"	0.158887278666313	0.758546113623682	"control"
"ng IgA/mg dry contents"	"#D95F02"	0.564068595956025	0.219453592544919	"RPS"
"Prevotellaceae(100):Otu00025"	"#D95F02"	0.108989568001482	0.20728188943692	"RPS"
"Prevotellaceae(100):Otu00026"	"#D95F02"	0.532315533871025	0.0149274237732231	"RPS"
"propionate"	"#1B9E77"	0.225954694643571	0.622953261261101	"control"
"Ruminococcaceae(100):Otu00230"	"#D95F02"	0.605427371403084	0.0569282536520474	"RPS"
"Sharpea(100):Otu00285"	"#D95F02"	0.980743900923386	0.29494482023989	"RPS"
"Succinivibrio(100):Otu00021"	"#1B9E77"	0.0247835028721437	0.586517209647199	"control"
