"pig"	"node"	"value"	"scale_lab"	"treatment"
"67"	"Prevotella_2(100):Otu00005"	0.045227569097675	"proportion of total community"	"control"
"68"	"Prevotella_2(100):Otu00005"	0.010368626952069	"proportion of total community"	"control"
"69"	"Prevotella_2(100):Otu00005"	0.00569320314239369	"proportion of total community"	"control"
"70"	"Prevotella_2(100):Otu00005"	0.0383257529976782	"proportion of total community"	"control"
"71"	"Prevotella_2(100):Otu00005"	0.0537514710091918	"proportion of total community"	"control"
"72"	"Prevotella_2(100):Otu00005"	0.0808816513469673	"proportion of total community"	"control"
"73"	"Prevotella_2(100):Otu00005"	0.0993925129607837	"proportion of total community"	"control"
"74"	"Prevotella_2(100):Otu00005"	0.0600807862345345	"proportion of total community"	"RPS"
"75"	"Prevotella_2(100):Otu00005"	0.03231449381381	"proportion of total community"	"RPS"
"76"	"Prevotella_2(100):Otu00005"	0.160904551381954	"proportion of total community"	"RPS"
"77"	"Prevotella_2(100):Otu00005"	0.0873381889888998	"proportion of total community"	"RPS"
"78"	"Prevotella_2(100):Otu00005"	0.0822492923253077	"proportion of total community"	"RPS"
"79"	"Prevotella_2(100):Otu00005"	0.0339683852294774	"proportion of total community"	"RPS"
"80"	"Prevotella_2(100):Otu00005"	0.105594605769537	"proportion of total community"	"RPS"
"67"	"Campylobacter(100):Otu00015"	0.00184472504055215	"proportion of total community"	"control"
"68"	"Campylobacter(100):Otu00015"	0.00168569701981489	"proportion of total community"	"control"
"69"	"Campylobacter(100):Otu00015"	0.136764097834038	"proportion of total community"	"control"
"70"	"Campylobacter(100):Otu00015"	0.0060112591838682	"proportion of total community"	"control"
"71"	"Campylobacter(100):Otu00015"	0.274800419833975	"proportion of total community"	"control"
"72"	"Campylobacter(100):Otu00015"	0.0111319614516078	"proportion of total community"	"control"
"73"	"Campylobacter(100):Otu00015"	0.00139944658248783	"proportion of total community"	"control"
"74"	"Campylobacter(100):Otu00015"	0.0059476479755733	"proportion of total community"	"RPS"
"75"	"Campylobacter(100):Otu00015"	0.000477084062211762	"proportion of total community"	"RPS"
"76"	"Campylobacter(100):Otu00015"	0.000985973728570974	"proportion of total community"	"RPS"
"77"	"Campylobacter(100):Otu00015"	0.00340319964377723	"proportion of total community"	"RPS"
"78"	"Campylobacter(100):Otu00015"	0.171909290416971	"proportion of total community"	"RPS"
"79"	"Campylobacter(100):Otu00015"	0.0363538055405362	"proportion of total community"	"RPS"
"80"	"Campylobacter(100):Otu00015"	0.0311376864603543	"proportion of total community"	"RPS"
"67"	"Veillonellaceae(100):Otu00017"	3.18056041474508e-05	"proportion of total community"	"control"
"68"	"Veillonellaceae(100):Otu00017"	0	"proportion of total community"	"control"
"69"	"Veillonellaceae(100):Otu00017"	0	"proportion of total community"	"control"
"70"	"Veillonellaceae(100):Otu00017"	3.18056041474508e-05	"proportion of total community"	"control"
"71"	"Veillonellaceae(100):Otu00017"	0.0180973887598995	"proportion of total community"	"control"
"72"	"Veillonellaceae(100):Otu00017"	0.00120861295760313	"proportion of total community"	"control"
"73"	"Veillonellaceae(100):Otu00017"	0.00346681085207213	"proportion of total community"	"control"
"74"	"Veillonellaceae(100):Otu00017"	0	"proportion of total community"	"RPS"
"75"	"Veillonellaceae(100):Otu00017"	0	"proportion of total community"	"RPS"
"76"	"Veillonellaceae(100):Otu00017"	0	"proportion of total community"	"RPS"
"77"	"Veillonellaceae(100):Otu00017"	0.00181291943640469	"proportion of total community"	"RPS"
"78"	"Veillonellaceae(100):Otu00017"	0.00238542031105881	"proportion of total community"	"RPS"
"79"	"Veillonellaceae(100):Otu00017"	0.00216278108202665	"proportion of total community"	"RPS"
"80"	"Veillonellaceae(100):Otu00017"	0.000508889666359212	"proportion of total community"	"RPS"
"67"	"Alloprevotella(100):Otu00020"	0.0144715498870901	"proportion of total community"	"control"
"68"	"Alloprevotella(100):Otu00020"	0.0684774657294615	"proportion of total community"	"control"
"69"	"Alloprevotella(100):Otu00020"	0.0580452275690977	"proportion of total community"	"control"
"70"	"Alloprevotella(100):Otu00020"	0.00353042206036704	"proportion of total community"	"control"
"71"	"Alloprevotella(100):Otu00020"	0.0019401418529945	"proportion of total community"	"control"
"72"	"Alloprevotella(100):Otu00020"	0.000858751311981171	"proportion of total community"	"control"
"73"	"Alloprevotella(100):Otu00020"	0.00120861295760313	"proportion of total community"	"control"
"74"	"Alloprevotella(100):Otu00020"	0.00461181260138036	"proportion of total community"	"RPS"
"75"	"Alloprevotella(100):Otu00020"	0.00499347985114977	"proportion of total community"	"RPS"
"76"	"Alloprevotella(100):Otu00020"	0.016157246906905	"proportion of total community"	"RPS"
"77"	"Alloprevotella(100):Otu00020"	0.000795140103686269	"proportion of total community"	"RPS"
"78"	"Alloprevotella(100):Otu00020"	0.0165707197608219	"proportion of total community"	"RPS"
"79"	"Alloprevotella(100):Otu00020"	0.000286250437327057	"proportion of total community"	"RPS"
"80"	"Alloprevotella(100):Otu00020"	0.067237047167711	"proportion of total community"	"RPS"
"67"	"Succinivibrio(100):Otu00021"	0.0217868388410038	"proportion of total community"	"control"
"68"	"Succinivibrio(100):Otu00021"	0.0541649438631087	"proportion of total community"	"control"
"69"	"Succinivibrio(100):Otu00021"	0.0472631277631119	"proportion of total community"	"control"
"70"	"Succinivibrio(100):Otu00021"	0.0554371680290067	"proportion of total community"	"control"
"71"	"Succinivibrio(100):Otu00021"	0.0144397442829427	"proportion of total community"	"control"
"72"	"Succinivibrio(100):Otu00021"	0.0108139054101333	"proportion of total community"	"control"
"73"	"Succinivibrio(100):Otu00021"	0.0524474412391463	"proportion of total community"	"control"
"74"	"Succinivibrio(100):Otu00021"	0.00543875830921408	"proportion of total community"	"RPS"
"75"	"Succinivibrio(100):Otu00021"	0.00588403676727839	"proportion of total community"	"RPS"
"76"	"Succinivibrio(100):Otu00021"	0.000954168124423523	"proportion of total community"	"RPS"
"77"	"Succinivibrio(100):Otu00021"	0.000731528895391368	"proportion of total community"	"RPS"
"78"	"Succinivibrio(100):Otu00021"	0.0109093222225756	"proportion of total community"	"RPS"
"79"	"Succinivibrio(100):Otu00021"	0.000667917687096466	"proportion of total community"	"RPS"
