"colour"	"from"	"to"	"x"	"y"	"xend"	"yend"	"label"	"PANEL"	"group"	".selfie"	"weight"	".samegroup"	"ymax"	"xmax"	"width"	"linetype"	"fontsize"	"shape"	"arrowsize"	"size"	"fill"	"alpha"	"stroke"	"linewidth"	"angle"	"vjust"	"hjust"	"curvature"	"type"
"#BB8714"	"Alloprevotella(100):Otu00020"	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	0.824389350173673	0.612176149245032	0.67890620757522	0.659946640955063	"Alloprevotella(100):Otu00020"	1	1	FALSE	1	FALSE	NA	0.824389350173673	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Bacteroidales_unclassified(93):Otu00094"	"CD3+/CD4+/CD8a+/FoxP3+/CD25+"	0.716989022918226	0.855524313980545	0.553500948156428	0.809911581292189	"Bacteroidales_unclassified(93):Otu00094"	1	2	FALSE	1	FALSE	NA	0.716989022918226	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Burkholderiales_unclassified(100):Otu00397"	"CD3+/CD4+/CD8a-/FoxP3+/CD25+"	0.641230013717787	0.177225278801207	0.456933116925619	0.145951091484169	"Burkholderiales_unclassified(100):Otu00397"	1	3	FALSE	1	FALSE	NA	0.641230013717787	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#7B6B4D"	"butyrate"	"caproate"	0.403064721076244	0.283108173736233	0.513768310392814	0.279086267797613	"butyrate"	1	601	FALSE	6	FALSE	NA	0.513768310392814	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#7B6B4D"	"butyrate"	"CD3+/CD4+/CD8a-/FoxP3+/CD25+"	0.403064721076244	0.283108173736233	0.456933116925619	0.145951091484169	"butyrate"	1	602	FALSE	2	FALSE	NA	0.456933116925619	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#7B6B4D"	"butyrate"	"DEFb1"	0.403064721076244	0.283108173736233	0.261577452552872	0.334486481764953	"butyrate"	1	603	FALSE	2	FALSE	NA	0.403064721076244	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#BB8714"	"Campylobacter(100):Otu00015"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	0.404099116274412	0.845735091110074	0.485876811437061	0.792584246794947	"Campylobacter(100):Otu00015"	1	4	FALSE	1	FALSE	NA	0.485876811437061	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Campylobacter(100):Otu00015"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.404099116274412	0.845735091110074	0.504902458305682	0.730830580724292	"Campylobacter(100):Otu00015"	1	5	FALSE	1	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Campylobacter(100):Otu00015"	"CD3+/CD4+/CD8a-/FoxP3-/CD25+"	0.404099116274412	0.845735091110074	0.491056495438154	0.868851633110551	"Campylobacter(100):Otu00015"	1	6	FALSE	1	FALSE	NA	0.491056495438154	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Campylobacter(100):Otu00015"	"CD3+/CD4+/CD8a+/FoxP3-/CD25-"	0.404099116274412	0.845735091110074	0.433132592055918	0.752623319349877	"Campylobacter(100):Otu00015"	1	7	FALSE	1	FALSE	NA	0.433132592055918	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#BB8714"	"Campylobacter(100):Otu00015"	"CD3+/CD4+/CD8a+/FoxP3-/CD25+"	0.404099116274412	0.845735091110074	0.393447606068509	0.798360073980034	"Campylobacter(100):Otu00015"	1	8	FALSE	1	FALSE	NA	0.404099116274412	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"16S"
"#7B6B4D"	"caproate"	"CD3+/CD4+/CD8a-/FoxP3+/CD25+"	0.513768310392814	0.279086267797613	0.456933116925619	0.145951091484169	"caproate"	1	604	FALSE	2	FALSE	NA	0.513768310392814	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#7B6B4D"	"caproate"	"ng IgA/mg dry contents"	0.513768310392814	0.279086267797613	0.564068595956025	0.219453592544919	"caproate"	1	605	FALSE	2	FALSE	NA	0.564068595956025	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#7B6B4D"	"caproate"	"valerate"	0.513768310392814	0.279086267797613	0.619632934955753	0.329873115169553	"caproate"	1	606	FALSE	6	FALSE	NA	0.619632934955753	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"VFA"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25-"	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	0.903422203644202	0.308658616666035	0.965705408815462	0.387388079953894	"CD3-/CD4-/CD8a-/FoxP3-/CD25-"	1	543	FALSE	2	FALSE	NA	0.965705408815462	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25-"	"Sharpea(100):Otu00285"	0.903422203644202	0.308658616666035	0.980743900923386	0.29494482023989	"CD3-/CD4-/CD8a-/FoxP3-/CD25-"	1	544	FALSE	1	FALSE	NA	0.980743900923386	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.485876811437061	0.792584246794947	0.504902458305682	0.730830580724292	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	1	545	FALSE	2	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3+/CD4+/CD8a-/FoxP3-/CD25+"	0.485876811437061	0.792584246794947	0.491056495438154	0.868851633110551	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	1	546	FALSE	2	FALSE	NA	0.491056495438154	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25-"	0.485876811437061	0.792584246794947	0.433132592055918	0.752623319349877	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	1	547	FALSE	2	FALSE	NA	0.485876811437061	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25+"	0.485876811437061	0.792584246794947	0.393447606068509	0.798360073980034	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	1	548	FALSE	2	FALSE	NA	0.485876811437061	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3+/CD25+"	0.485876811437061	0.792584246794947	0.553500948156428	0.809911581292189	"CD3-/CD4-/CD8a-/FoxP3-/CD25+"	1	549	FALSE	2	FALSE	NA	0.553500948156428	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a-/FoxP3+/CD25-"	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	0.90743740915348	0.441140570282156	0.965705408815462	0.387388079953894	"CD3-/CD4-/CD8a-/FoxP3+/CD25-"	1	550	FALSE	2	FALSE	NA	0.965705408815462	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	0.504902458305682	0.730830580724292	0.67890620757522	0.659946640955063	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	551	FALSE	2	FALSE	NA	0.67890620757522	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.504902458305682	0.730830580724292	0.660947844726112	0.706213617375417	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	552	FALSE	2	FALSE	NA	0.660947844726112	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	0.504902458305682	0.730830580724292	0.308412230834868	0.707542289796128	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	553	FALSE	2	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a-/FoxP3-/CD25+"	0.504902458305682	0.730830580724292	0.491056495438154	0.868851633110551	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	554	FALSE	2	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25-"	0.504902458305682	0.730830580724292	0.433132592055918	0.752623319349877	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	555	FALSE	2	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25+"	0.504902458305682	0.730830580724292	0.393447606068509	0.798360073980034	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	556	FALSE	2	FALSE	NA	0.504902458305682	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3+/CD25+"	0.504902458305682	0.730830580724292	0.553500948156428	0.809911581292189	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	1	557	FALSE	2	FALSE	NA	0.553500948156428	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.67890620757522	0.659946640955063	0.660947844726112	0.706213617375417	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	1	558	FALSE	2	FALSE	NA	0.67890620757522	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	"Prevotella_1(100):Otu00024"	0.67890620757522	0.659946640955063	0.798156922529492	0.701042175049788	"CD3-/CD4+/CD8a-/FoxP3-/CD25-"	1	559	FALSE	1	FALSE	NA	0.798156922529492	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#966A78"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	"Prevotella_1(100):Otu00024"	0.660947844726112	0.706213617375417	0.798156922529492	0.701042175049788	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	1	560	FALSE	1	FALSE	NA	0.798156922529492	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3-"
"#66A61E"	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	"Lactobacillaceae(100):Otu00051"	0.965705408815462	0.387388079953894	1	0.486912139741477	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	1	562	FALSE	1	FALSE	NA	1	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	"Sharpea(100):Otu00285"	0.965705408815462	0.387388079953894	0.980743900923386	0.29494482023989	"CD3+/CD4-/CD8a-/FoxP3+/CD25-"	1	563	FALSE	1	FALSE	NA	0.980743900923386	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	0.139101688665625	0.661773038882471	0.308412230834868	0.707542289796128	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	1	564	FALSE	2	FALSE	NA	0.308412230834868	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	"Clostridiales_unclassified(100):Otu00256"	0.139101688665625	0.661773038882471	0.00957219031085059	0.670965180574372	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	1	565	FALSE	1	FALSE	NA	0.139101688665625	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	"Succinivibrio(100):Otu00021"	0.139101688665625	0.661773038882471	0.0247835028721437	0.586517209647199	"CD3+/CD4-/CD8a+/FoxP3-/CD25-"	1	566	FALSE	1	FALSE	NA	0.139101688665625	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25-"	0.308412230834868	0.707542289796128	0.433132592055918	0.752623319349877	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	1	567	FALSE	2	FALSE	NA	0.433132592055918	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"CD3+/CD4+/CD8a+/FoxP3-/CD25+"	0.308412230834868	0.707542289796128	0.393447606068509	0.798360073980034	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	1	568	FALSE	2	FALSE	NA	0.393447606068509	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"Mucispirillum(100):Otu00156"	0.308412230834868	0.707542289796128	0.158887278666313	0.758546113623682	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	1	569	FALSE	1	FALSE	NA	0.308412230834868	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	"propionate"	0.308412230834868	0.707542289796128	0.225954694643571	0.622953261261101	"CD3+/CD4-/CD8a+/FoxP3-/CD25+"	1	570	FALSE	2	FALSE	NA	0.308412230834868	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	"CD3+/CD4+/CD8a-/FoxP3-/CD25-"	0.138514671660442	0.32342362737919	0.263447186028898	0.218799764124114	"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	1	571	FALSE	2	FALSE	NA	0.263447186028898	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
"#66A61E"	"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	"DEFb1"	0.138514671660442	0.32342362737919	0.261577452552872	0.334486481764953	"CD3+/CD4-/CD8a+/FoxP3+/CD25+"	1	572	FALSE	2	FALSE	NA	0.261577452552872	0.75	"solid"	3.5	19	1	5	NA	NA	0.5	0.5	0	0	0.5	0	"CD3+"
